cycle,episode_id,failure_mode,group_name,ttf_seconds,mttf_seconds,survival_probability,hazard_rate,event,data_source,beta,eta,recorded_at
26,ep_00029_RETRY_STORM,RETRY_STORM,Immediate trigger,0.1,9299.17,77.3688,0.518205,1,auto_arima_forecast,0.20196118156100862,84.16775886753939,2026-08-05T03:24:47.710433+00:00
27,ep_00030_RETRY_STORM,RETRY_STORM,Immediate trigger,0.1,9299.17,77.3688,0.518205,1,auto_arima_forecast,0.20196118156100862,84.16775886753939,2026-08-05T03:24:47.710567+00:00
28,ep_00031_DB_SLOWDOWN,DB_SLOWDOWN,Immediate trigger,0.1,9299.17,77.3688,0.518205,1,auto_arima_forecast,0.20196118156100862,84.16775886753939,2026-08-05T03:24:47.710713+00:00
29,ep_00032_QUEUE_BACKUP,QUEUE_BACKUP,Immediate trigger,0.1,9299.17,77.3688,0.518205,1,auto_arima_forecast,0.20196118156100862,84.16775886753939,2026-08-05T03:24:47.710925+00:00
30,ep_00034_RETRY_STORM,RETRY_STORM,Immediate trigger,0.1,9299.17,77.3688,0.518205,1,auto_arima_forecast,0.20196118156100862,84.16775886753939,2026-08-05T03:24:47.711063+00:00
31,ep_00036_CASCADING_FAILURE,CASCADING_FAILURE,Immediate trigger,0.1,9299.17,77.3688,0.518205,1,auto_arima_forecast,0.20196118156100862,84.16775886753939,2026-08-05T03:24:47.711197+00:00
32,ep_00037_CACHE_STAMPEDE,CACHE_STAMPEDE,Immediate trigger,238.0,9299.17,29.1245,0.001047,0,right_censored_beyond_window,0.20196118156100862,84.16775886753939,2026-08-05T03:24:47.711326+00:00
33,ep_00038_RETRY_STORM,RETRY_STORM,Immediate trigger,0.1,9299.17,77.3688,0.518205,1,auto_arima_forecast,0.20196118156100862,84.16775886753939,2026-08-05T03:24:47.711456+00:00
34,ep_00039_DB_SLOWDOWN,DB_SLOWDOWN,Immediate trigger,0.1,9299.17,77.3688,0.518205,1,auto_arima_forecast,0.20196118156100862,84.16775886753939,2026-08-05T03:24:47.711592+00:00
35,ep_00040_CASCADING_FAILURE,CASCADING_FAILURE,Immediate trigger,0.1,9299.17,77.3688,0.518205,1,auto_arima_forecast,0.20196118156100862,84.16775886753939,2026-08-05T03:24:47.711735+00:00
36,ep_00041_LATENCY_SPIKE,LATENCY_SPIKE,Immediate trigger,238.0,9299.17,29.1245,0.001047,0,right_censored_beyond_window,0.20196118156100862,84.16775886753939,2026-08-05T03:24:47.711867+00:00
37,ep_00042_BAD_DEPLOY,BAD_DEPLOY,Immediate trigger,0.1,9299.17,77.3688,0.518205,1,auto_arima_forecast,0.20196118156100862,84.16775886753939,2026-08-05T03:24:47.712037+00:00
38,ep_00043_ERROR_STORM,ERROR_STORM,Immediate trigger,238.0,9299.17,29.1245,0.001047,0,right_censored,0.20196118156100862,84.16775886753939,2026-08-05T03:24:47.712175+00:00
39,ep_00044_DISK_IO_SATURATION,DISK_IO_SATURATION,Immediate trigger,238.0,9299.17,29.1245,0.001047,0,right_censored_beyond_window,0.20196118156100862,84.16775886753939,2026-08-05T03:24:47.712309+00:00
40,ep_00046_MEMORY_LEAK,MEMORY_LEAK,Immediate trigger,238.0,9299.17,29.1245,0.001047,0,right_censored,0.20196118156100862,84.16775886753939,2026-08-05T03:24:47.712442+00:00
41,ep_00047_CACHE_STAMPEDE,CACHE_STAMPEDE,Immediate trigger,0.1,9299.17,77.3688,0.518205,1,auto_arima_forecast,0.20196118156100862,84.16775886753939,2026-08-05T03:24:47.712576+00:00
